[11.302000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 08004503ff04ff00
[11.362000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f5ff72006110
[11.362000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030004ff00
[11.392000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f1ff72006110
[11.422000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030003ff00
[11.452000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f3ff72006010
[11.452000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030002ff00
[11.512000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f5ff73006110
[11.542000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f1ff72006010
[11.572000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030000ff01
[11.602000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f0ff71006010
[11.602000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030001ff01
[11.662000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f6ff73006010
[11.662000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030001ff01
[11.692000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f3ff72006010
[11.692000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 080045030901ff02
